Year,Rank,Fight,Event,Date,Result,Is UFC
2013,86,Diaz vs. Thomson,UFC on FOX 7,Apr 2013,86,True
2013,89,Macário vs. Santos,UFC on FUEL TV 10,Jun 2013,89,True
2013,88,Chandler vs. Alvarez II,Bellator 106,Nov 2013,88,False
2013,90,Danzig vs. Guillard,UFC on FOX 8,Jul 2013,90,True
2013,91,Rua vs. Sonnen,UFC Fight Night 26,Aug 2013,91,True
2013,92,Brown vs. Siler,UFC Fight Night 26,Aug 2013,92,True
2013,93,Thompson vs. Clements,UFC 165,Sep 2013,93,True
2013,94,Martins vs. Hernandez,UFC Fight Night 28,Sep 2013,94,True
2013,95,Tavares vs. Nurmagomedov,UFC on FX 7,Jan 2013,95,True
2013,96,Vémola vs. Magalhães,UFC on FUEL TV 10,Jun 2013,96,True
2013,97,Johnson vs. Moraga,UFC on FOX 8,Jul 2013,97,True
2013,99,Lombard vs. Marquardt,UFC 166,Oct 2013,99,True
2013,98,Namajunas vs. Pennington,Invicta FC 6,Jul 2013,98,False
2013,101,Fili vs. Larsen,UFC 166,Oct 2013,101,True
2013,100,Mongeon vs. Leroux III,Challenge MMA 1,May 2013,100,False
2013,102,Rivera Jr. vs. Roop,UFC Fight Night 31,Nov 2013,102,True
2013,103,Jason vs. Stephens,UFC Fight Night 32,Nov 2013,103,True
2013,104,Maruyama vs. Choi,DEEP Cage Impact 2013,Jun 2013,104,False
2013,106,Jordan vs. Gonzaga,UFC 166,Oct 2013,106,True
2013,105,Siler vs. Holobaugh,UFC 159,Apr 2013,105,True
2013,108,Montague vs. Dodson,UFC 166,Oct 2013,108,True
2013,107,Whittaker vs. Smith,UFC 160,May 2013,107,True
2013,109,Benavidez vs. McCall,UFC 156,Feb 2013,109,True
2013,110,Couture vs. Pearson,UFC on FUEL TV 9,Apr 2013,110,True
2013,111,Hester vs. Marunde,The Ultimate Fighter 17 Finale,Apr 2013,111,False
2013,112,Prado vs. Alcântara,UFC on FX 7,Jan 2013,112,True
2013,113,Trinaldo vs. Keith,UFC on FX 7,Jan 2013,113,True
2013,115,Mendes vs. Elkins,UFC on FOX 7,Apr 2013,115,True
2013,114,Barão vs. McDonald,UFC on FUEL TV 7,Feb 2013,114,True
2013,116,Mizugaki vs. Perez,UFC Fight Night 27,Aug 2013,116,True
2013,118,Barry vs. Jordan,UFC 161,Jun 2013,118,True
2013,117,Noons vs. Couture,Strikeforce,Jan 2013,117,False
2013,119,Krause vs. Green,UFC Fight Night 31,Nov 2013,119,True
2013,120,McDaniel vs. Smith,The Ultimate Fighter 17 Finale,Apr 2013,120,False
2013,121,Henderson vs. Machida,UFC 157,Feb 2013,121,True
2013,123,Masvidal vs. Means,UFC on FOX 7,Apr 2013,123,True
2013,122,Rogers vs. Cramer,Bellator 89,Feb 2013,122,False
2013,124,Nunes vs. Gaff,UFC 163,Aug 2013,124,True
2013,126,Barboza vs. Oliveira,UFC 162,Jul 2013,126,True
2013,125,Poirier vs. Koch,UFC 164,Aug 2013,125,True
2013,127,Lauzon vs. Johnson,UFC Fight Night 26,Aug 2013,127,True
2013,130,Ferguson vs. Rio,UFC 166,Oct 2013,130,True
2013,129,Gomes vs. Amaya,Bellator 86,Jan 2013,129,False
2013,128,Perpétuo vs. Akhmedov,UFC Fight Night 32,Nov 2013,128,True
2013,132,Sakara vs. Musoke,UFC Fight Night 30,Oct 2013,132,True
2013,131,Mizugaki vs. Phan,UFC Fight Night 33,Dec 2013,131,True
2013,134,Baczynski vs. Melancon,UFC 162,Jul 2013,134,True
2013,133,Penne vs. Waterson-Gomez,Invicta FC 5,Apr 2013,133,False
2013,136,Smith vs. Neto,UFC on FUEL TV 10,Jun 2013,136,True
2013,135,Chandler vs. Hawn,Bellator 85,Jan 2013,135,False
2013,137,McMann vs. Gaff,UFC 159,Apr 2013,137,True
2013,139,Herman vs. Gonzaga,UFC 162,Jul 2013,139,True
2013,138,McCall vs. Santos,UFC 163,Aug 2013,138,True
2013,141,Albert vs. Meza,UFC on FOX 8,Jul 2013,141,True
2013,140,Miller vs. Healy,UFC 159,Apr 2013,140,True
2013,142,Leben vs. Hall,UFC 168,Dec 2013,142,True
2013,143,McGregor vs. Holloway,UFC Fight Night 26,Aug 2013,143,True
2013,144,Andrade vs. Sexton,UFC Fight Night 30,Oct 2013,144,True
2013,146,Nunes vs. de Randamie,UFC Fight Night 31,Nov 2013,146,True
2013,145,Brandão vs. Pineda,UFC Fight Night 26,Aug 2013,145,True
2013,148,Aldo vs. Jung,UFC 163,Aug 2013,148,True
2013,147,Fodor vs. Yang,ONE FC 10,Sep 2013,147,False
2013,150,Maia vs. Shields,UFC Fight Night 29,Oct 2013,150,True
2013,149,Mousasi vs. Kyle,Strikeforce,Jan 2013,149,False
2013,152,Casey vs. Samman,The Ultimate Fighter 17 Finale,Apr 2013,152,False
2013,151,Kennedy vs. Smith,Strikeforce,Jan 2013,151,False
2013,154,Faber vs. Jorgensen,The Ultimate Fighter 17 Finale,Apr 2013,154,False
2013,153,Bisping vs. Belcher,UFC 159,Apr 2013,153,True
2013,156,Assunção vs. Lee,UFC on FUEL TV 10,Jun 2013,156,True
2013,155,Watson vs. Nedkov,UFC on FUEL TV 7,Feb 2013,155,True
2013,158,Garcia vs. Wall,UFC Fight Night 33,Dec 2013,158,True
2013,157,Sanchez vs. Gomi,UFC on FUEL TV 8,Mar 2013,157,True
2013,160,Holdsworth vs. Grant,The Ultimate Fighter 18 Finale,Nov 2013,160,False
2013,159,Sarafian vs. Dollaway,UFC on FX 7,Jan 2013,159,True
2013,163,Barry vs. Palelei,UFC Fight Night 33,Dec 2013,163,True
2013,162,Davis vs. Baszler II,Invicta FC 4,Jan 2013,162,False
2013,161,Te Huna vs. Jimmo,UFC on FUEL TV 7,Feb 2013,161,True
2013,164,Shlemenko vs. Cooper II,Bellator 98,Sep 2013,164,False
2013,166,Healy vs. Holobaugh,Strikeforce,Jan 2013,166,False
2013,165,Natal vs. Troéng,UFC Fight Night 28,Sep 2013,165,True
2013,167,Cote vs. Voelker,UFC 158,Mar 2013,167,True
2013,169,Kennedy vs. Natal,UFC Fight Night 31,Nov 2013,169,True
2013,168,Wood vs. von Plettenberg,Invicta FC 4,Jan 2013,168,False
2013,171,Arantes vs. Pepey,UFC on FUEL TV 10,Jun 2013,171,True
2013,170,Askren vs. Amoussou,Bellator 86,Jan 2013,170,False
2013,172,Ponzinibbio vs. LaFlare,UFC Fight Night 32,Nov 2013,172,True
2013,173,Patino vs. Ferreira,Legacy FC 25,Nov 2013,173,False
2013,175,Lawlor vs. Kuiper,UFC on FUEL TV 9,Apr 2013,175,True
2013,174,Wilcox vs. Stepanyan,Bellator 99,Sep 2013,174,False
2013,178,Stephens vs. Payan,UFC 160,May 2013,178,True
2013,177,D'Alelio vs. Nunes,Invicta FC 4,Jan 2013,177,False
2013,176,Fitch vs. Maia,UFC 156,Feb 2013,176,True
2013,179,Cariaso vs. Santos,UFC Fight Night 29,Oct 2013,179,True
2013,183,Assunção vs. Dillashaw,UFC Fight Night 29,Oct 2013,183,True
2013,182,Ferreira vs. Santos,UFC 163,Aug 2013,182,True
2013,181,Smith vs. Pennington,Invicta FC 4,Jan 2013,181,False
2013,180,Blanco vs. Sicilia,The Ultimate Fighter 17 Finale,Apr 2013,180,False
2013,185,Stout vs. Krause,UFC 161,Jun 2013,185,True
2013,184,Žaromskis vs. Weedman,Bellator 86,Jan 2013,184,False
2013,188,Andrews vs. Abedi,UFC Fight Night 27,Aug 2013,188,True
2013,187,Parke vs. Tokudome,UFC 162,Jul 2013,187,True
2013,186,Souza vs. Herman,Strikeforce,Jan 2013,186,False
2013,189,Masvidal vs. Khabilov,UFC Fight Night 31,Nov 2013,189,True
2013,191,Gracie vs. Smith,Strikeforce,Jan 2013,191,False
2013,190,Elliott vs. Bagautinov,UFC 167,Nov 2013,190,True
2013,193,Payan vs. Peralta,UFC 168,Dec 2013,193,True
2013,192,Carmouche vs. Andrade,UFC on FOX 8,Jul 2013,192,True
2013,195,Caraway vs. Bedford,UFC 159,Apr 2013,195,True
2013,194,Burrell vs. Villefort,UFC 157,Feb 2013,194,True
2013,196,Barnatt vs. Craig,UFC Fight Night 30,Oct 2013,196,True
2013,197,Pierce vs. Palhares,UFC Fight Night 29,Oct 2013,197,True
2015,1,Lawler vs. MacDonald II,UFC 189,Jul 2015,1,True
2015,2,Jones vs. Cormier,UFC 182,Jan 2015,2,True
2015,3,Ferguson vs. Barboza,The Ultimate Fighter 22 Finale,Dec 2015,3,False
2015,4,McGregor vs. Mendes,UFC 189,Jul 2015,4,True
2015,5,Browne vs. Arlovski,UFC 187,May 2015,5,True
2015,6,Cormier vs. Gustafsson,UFC 192,Oct 2015,6,True
2015,7,Rousey vs. Holm,UFC 193,Nov 2015,7,True
2015,8,Gaethje vs. Palomino,WSOF 19,Mar 2015,8,False
2015,9,Bermudez vs. Stephens,UFC 189,Jul 2015,9,True
2015,10,Henderson vs. Thatch,UFC Fight Night 60,Feb 2015,10,True
2015,11,Weidman vs. Rockhold,UFC 194,Dec 2015,11,True
2015,12,Lineker vs. Rivera Jr.,UFC 191,Sep 2015,12,True
2015,13,Diaz vs. Johnson,UFC on FOX 17,Dec 2015,13,True
2015,14,Velasquez vs. Werdum,UFC 188,Jun 2015,14,True
2015,15,Tavares vs. Ortega,UFC Fight Night 68,Jun 2015,15,True
2015,16,Johnson vs. Cormier,UFC 187,May 2015,16,True
2015,17,Brimage vs. Garbrandt,UFC 182,Jan 2015,17,True
2015,18,Almeida vs. Pickett,UFC 189,Jul 2015,18,True
2015,19,Barboza vs. Felder,UFC on FOX 16,Jul 2015,19,True
2015,20,Esparza vs. Jędrzejczyk,UFC 185,Mar 2015,20,True
2015,21,Weidman vs. Belfort,UFC 187,May 2015,21,True
2015,22,McGregor vs. Siver,UFC Fight Night 59,Jan 2015,22,True
2015,23,Jędrzejczyk vs. Penne,UFC Fight Night 69,Jun 2015,23,True
2015,24,Oliveira vs. Lentz II,UFC Fight Night 67,May 2015,24,True
2015,25,Cerrone vs. Henderson III,UFC Fight Night 59,Jan 2015,25,True
2015,26,Gustafsson vs. Johnson,UFC on FOX 14,Jan 2015,26,True
2015,27,Jouban vs. Dwyer,UFC Fight Night 71,Jul 2015,27,True
2015,28,Davis vs. Tokoro,Bellator 135,Mar 2015,28,False
2015,29,Silva vs. Diaz,UFC 183,Jan 2015,29,True
2015,30,Gonzaga vs. Filipović II,UFC Fight Night 64,Apr 2015,30,True
2015,31,Thomson vs. Ferguson,UFC Fight Night 71,Jul 2015,31,True
2015,32,Cote vs. Burkman,UFC Fight Night 74,Aug 2015,32,True
2015,34,Grasso vs. Inoue,Invicta FC 11,Feb 2015,34,False
2015,33,Mir vs. Duffee,UFC Fight Night 71,Jul 2015,33,True
2015,36,Jędrzejczyk vs. Létourneau,UFC 193,Nov 2015,36,True
2015,35,Newton vs. McGeary,Bellator 134,Feb 2015,35,False
2015,37,Anderson vs. Villante,UFC on FOX 15,Apr 2015,37,True
2015,38,Cerrone vs. Jury,UFC 182,Jan 2015,38,True
2015,39,Leites vs. Boetsch,UFC 183,Jan 2015,39,True
2015,40,Rousey vs. Zingano,UFC 184,Feb 2015,40,True
2015,41,Bisping vs. Dollaway,UFC 186,Apr 2015,41,True
2015,42,Lauzon vs. Iaquinta,UFC 183,Jan 2015,42,True
2015,43,Musoke vs. Tumenov,UFC on FOX 14,Jan 2015,43,True
2015,44,Wood vs. Casey,UFC Fight Night 72,Jul 2015,44,True
2015,45,Materla vs. Drwal,KSW 31,May 2015,45,False
2015,47,Rosa vs. Rodriguez,UFC 188,Jun 2015,47,True
2015,46,Pitbull vs. Straus III,Bellator 145,Nov 2015,46,False
2015,48,Gastelum vs. Magny,UFC Fight Night 78,Nov 2015,48,True
2015,49,Holm vs. Pennington,UFC 184,Feb 2015,49,True
2015,53,Till vs. Dalby,UFC Fight Night 76,Oct 2015,53,True
2015,52,Tate vs. McMann,UFC 183,Jan 2015,52,True
2015,51,Pitbull vs. Straus,Bellator 132,Jan 2015,51,False
2015,50,Seery vs. Smolka,UFC 189,Jul 2015,50,True
2015,54,Pitbull vs. Weichel,Bellator 138,Jun 2015,54,False
2015,55,Pettis vs. dos Anjos,UFC 185,Mar 2015,55,True
2015,56,Makovsky vs. Elliott,UFC Fight Night 60,Feb 2015,56,True
2015,57,Shimuk vs. Paduch,Fight Exclusive Night 5,Jan 2015,57,False
2015,60,Kowalkiewicz vs. Faria,KSW 30,Feb 2015,60,False
2015,59,Larkin vs. Ponzinibbio,UFC Fight Night 70,Jun 2015,59,True
2015,58,Brown vs. Means,UFC 189,Jul 2015,58,True
2015,62,Maia vs. Nelson,UFC 194,Dec 2015,62,True
2015,61,Rosa vs. Soriano,UFC Fight Night 59,Jan 2015,61,True
2015,63,Pietraszek vs. Zontek,Fight Exclusive Night 5,Jan 2015,63,False
2015,65,Aldo vs. McGregor,UFC 194,Dec 2015,65,True
2015,64,Procházka vs. Nemkov,RIZIN Fighting World Grand Prix 2015,Dec 2015,64,False
2015,66,Danelski vs. Meek,Arena Berserkerów 7,Mar 2015,66,False
2015,68,Andrade vs. Pennington II,UFC 191,Sep 2015,68,True
2015,67,Henderson vs. Masvidal,UFC Fight Night 79,Nov 2015,67,True
2015,71,Condit vs. Alves,UFC Fight Night 67,May 2015,71,True
2015,70,Li vs. Nakamura,UFC Fight Night 75,Sep 2015,70,True
2015,69,Miller vs. Chiesa,UFC Fight Night 80,Dec 2015,69,True
2015,74,Nelson vs. Thatch,UFC 189,Jul 2015,74,True
2015,73,Hall vs. Whittaker,UFC 193,Nov 2015,73,True
2015,72,Hirota vs. Ishihara,UFC Fight Night 75,Sep 2015,72,True
2015,77,Barboza vs. Johnson,UFC Fight Night 61,Feb 2015,77,True
2015,76,VanZant vs. Namajunas,UFC Fight Night 80,Dec 2015,76,True
2015,75,Kato vs. Manhoef,Bellator 146,Nov 2015,75,False
2015,78,Rousey vs. Correia,UFC 190,Aug 2015,78,True
