event_name,r_fighter,b_fighter,winner,weight_class,is_title_bout,gender,method,finish_round,total_rounds,time_sec,referee,r_kd,r_sig_str,r_sig_str_att,r_sig_str_acc,r_str,r_str_att,r_str_acc,r_td,r_td_att,r_td_acc,r_sub_att,r_rev,r_ctrl_sec,r_wins_total,r_losses_total,r_age,r_height,r_weight,r_reach,r_stance,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_kd,b_sig_str,b_sig_str_att,b_sig_str_acc,b_str,b_str_att,b_str_acc,b_td,b_td_att,b_td_acc,b_sub_att,b_rev,b_ctrl_sec,b_wins_total,b_losses_total,b_age,b_height,b_weight,b_reach,b_stance,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg,kd_diff,sig_str_diff,sig_str_att_diff,sig_str_acc_diff,str_diff,str_att_diff,str_acc_diff,td_diff,td_att_diff,td_acc_diff,sub_att_diff,rev_diff,ctrl_sec_diff,wins_total_diff,losses_total_diff,age_diff,height_diff,weight_diff,reach_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff
UFC 171,raquel pennington,jessica andrade,Blue,Women's Bantamweight,0,Women,Decision - Split,3,3,300,Don Turnage,0,82,167,0.49,87,172,0.51,2,3,0.66,2,0,80,16,9,35.0,170.18,61.23,170.18,Orthodox,4.14,3.29,0.52,0.27,0.6,0.63,0.7,0.9,0,66,158,0.41,90,185,0.49,3,8,0.37,0,0,380,25,12,32.0,154.94,52.16,157.48,Orthodox,6.67,5.36,0.5,0.54,0.54,0.72,0.4,2.45,0,16,9,0.08,-3,-13,0.02,-1,-5,0.29,2,0,-300,-9,-3,3.0,15.240000000000007,9.07,12.700000000000015,-2.53,-2.07,0.02,-0.27,0.06,-0.09,0.2999999999999999,-1.55
UFC Fight Night,joseph benavidez,dustin ortiz,Red,Flyweight,0,Men,Decision - Unanimous,3,3,300,Blake Grice,1,21,50,0.42,37,72,0.51,7,12,0.58,0,2,410,28,8,39.0,162.56,56.7,165.1,Southpaw,3.52,2.67,0.34,0.3,0.61,0.62,0.6,1.41,0,49,87,0.56,93,136,0.68,3,8,0.37,0,1,183,19,8,35.0,165.1,56.7,165.1,Orthodox,2.94,2.17,0.44,0.36,0.56,0.52,0.1,3.01,1,-28,-37,-0.14,-56,-64,-0.17,4,4,0.2099999999999999,0,1,227,9,0,4.0,-2.54,0.0,0.0,0.5800000000000001,0.5,-0.1,-0.06,0.05,0.1,0.5,-1.6
UFC Fight Night,joseph benavidez,dustin ortiz,Red,Flyweight,0,Men,Decision - Unanimous,3,3,300,Jacob Montalvo,0,94,199,0.47,96,201,0.48,2,3,0.66,0,0,147,28,8,39.0,162.56,56.7,165.1,Southpaw,3.52,2.67,0.34,0.3,0.61,0.62,0.6,1.41,0,37,149,0.24,59,171,0.35,2,9,0.22,0,0,44,19,8,35.0,165.1,56.7,165.1,Orthodox,2.94,2.17,0.44,0.36,0.56,0.52,0.1,3.01,0,57,50,0.2299999999999999,37,30,0.13,0,-6,0.44,0,0,103,9,0,4.0,-2.54,0.0,0.0,0.5800000000000001,0.5,-0.1,-0.06,0.05,0.1,0.5,-1.6
UFC 264,dustin poirier,conor mcgregor,Red,Lightweight,0,Men,TKO - Doctor's Stoppage,1,5,300,Herb Dean,0,36,66,0.54,36,66,0.55,1,2,0.5,0,0,198,30,8,35.0,175.26,70.31,182.88,Southpaw,5.45,4.36,0.51,0.36,0.53,0.63,1.4,1.33,0,27,38,0.71,43,54,0.8,0,0,0.0,1,0,0,22,6,35.0,175.26,70.31,187.96,Southpaw,5.32,4.66,0.49,0.55,0.54,0.66,0.1,0.67,0,9,28,-0.17,-7,12,-0.25,1,2,0.5,-1,0,198,8,2,0.0,0.0,0.0,-5.08,0.1299999999999999,-0.3,0.02,-0.19,-0.01,-0.03,1.2999999999999998,0.66
UFC 257,dustin poirier,conor mcgregor,Red,Lightweight,0,Men,KO/TKO,2,5,152,Herb Dean,1,48,91,0.52,53,98,0.54,1,1,1.0,0,0,102,30,8,35.0,175.26,70.31,182.88,Southpaw,5.45,4.36,0.51,0.36,0.53,0.63,1.4,1.33,0,29,66,0.43,52,92,0.57,0,1,0.0,0,0,67,22,6,35.0,175.26,70.31,187.96,Southpaw,5.32,4.66,0.49,0.55,0.54,0.66,0.1,0.67,1,19,25,0.09,1,6,-0.03,1,0,1.0,0,0,35,8,2,0.0,0.0,0.0,-5.08,0.1299999999999999,-0.3,0.02,-0.19,-0.01,-0.03,1.2999999999999998,0.66
UFC 178,dustin poirier,conor mcgregor,Blue,Featherweight,0,Men,KO/TKO,1,3,106,Herb Dean,0,10,19,0.52,10,19,0.53,0,0,0.0,0,0,0,30,8,35.0,175.26,70.31,182.88,Southpaw,5.45,4.36,0.51,0.36,0.53,0.63,1.4,1.33,1,9,29,0.31,9,29,0.31,0,0,0.0,0,0,3,22,6,35.0,175.26,70.31,187.96,Southpaw,5.32,4.66,0.49,0.55,0.54,0.66,0.1,0.67,-1,1,-10,0.21,1,-10,0.22,0,0,0.0,0,0,-3,8,2,0.0,0.0,0.0,-5.08,0.1299999999999999,-0.3,0.02,-0.19,-0.01,-0.03,1.2999999999999998,0.66
UFC 203,fabricio werdum,travis browne,Red,Heavyweight,0,Men,Decision - Unanimous,3,3,300,Gary Copeland,1,84,142,0.59,107,166,0.64,0,3,0.0,1,0,90,24,9,46.0,193.04,104.78,195.58,Orthodox,3.59,2.64,0.52,0.31,0.55,0.31,1.2,1.75,0,37,143,0.25,38,144,0.26,0,0,0.0,0,0,13,18,7,41.0,198.12,115.67,200.66,Orthodox,2.93,4.31,0.41,0.68,0.42,0.75,0.2,1.21,1,47,-1,0.3399999999999999,69,22,0.38,0,3,0.0,1,0,77,6,2,5.0,-5.08,-10.89,-5.08,0.6599999999999997,-1.67,0.11,-0.37,0.13,-0.44,1.0,0.54
UFC on FOX,fabricio werdum,travis browne,Red,Heavyweight,0,Men,Decision - Unanimous,5,5,300,John McCarthy,0,121,196,0.61,171,251,0.68,2,6,0.33,0,0,304,24,9,46.0,193.04,104.78,195.58,Orthodox,3.59,2.64,0.52,0.31,0.55,0.31,1.2,1.75,0,60,156,0.38,77,173,0.45,0,1,0.0,0,0,48,18,7,41.0,198.12,115.67,200.66,Orthodox,2.93,4.31,0.41,0.68,0.42,0.75,0.2,1.21,0,61,40,0.2299999999999999,94,78,0.23,2,5,0.33,0,0,256,6,2,5.0,-5.08,-10.89,-5.08,0.6599999999999997,-1.67,0.11,-0.37,0.13,-0.44,1.0,0.54
UFC 150,benson henderson,frankie edgar,Red,UFC Lightweight Title,1,Men,Decision - Split,5,5,300,Herb Dean,0,64,167,0.38,67,170,0.39,0,1,0.0,1,0,7,24,7,40.0,175.26,77.11,177.8,Southpaw,2.93,1.79,0.45,0.45,0.63,0.63,0.8,2.4,1,66,182,0.36,70,186,0.38,2,6,0.33,2,0,180,23,11,42.0,167.64,61.23,172.72,Orthodox,3.77,2.82,0.4,0.31,0.65,0.65,0.3,2.29,-1,-2,-15,0.02,-3,-16,0.01,-2,-5,-0.33,-1,0,-173,1,-4,-2.0,7.620000000000003,15.880000000000004,5.0800000000000125,-0.84,-1.03,0.05,0.14,-0.02,-0.02,0.5,0.1099999999999998
UFC 144,frankie edgar,benson henderson,Blue,UFC Lightweight Title,1,Men,Decision - Unanimous,5,5,300,Marc Goddard,0,68,190,0.35,81,204,0.4,5,12,0.41,0,0,128,23,11,42.0,167.64,61.23,172.72,Orthodox,3.77,2.82,0.4,0.31,0.65,0.65,0.3,2.29,0,87,264,0.32,100,277,0.36,1,1,1.0,3,0,37,24,7,40.0,175.26,77.11,177.8,Southpaw,2.93,1.79,0.45,0.45,0.63,0.63,0.8,2.4,0,-19,-74,0.03,-19,-73,0.04,4,11,-0.59,-3,0,91,-1,4,2.0,-7.62,-15.88,-5.08,0.8399999999999999,1.0299999999999998,-0.05,-0.14,0.02,0.02,-0.5,-0.11
