Year,Rank,Fight,Event,Date,Result,Is UFC,fighter_a,fighter_b
2013,48,Velasquez vs. Silva II,UFC 160,May 2013,48,True,velasquez,silva ii
2013,50,Belfort vs. Henderson II,UFC Fight Night,Nov 2013,50,True,belfort,henderson ii
2013,59,Edwards vs. Medeiros,UFC Fight Night,Nov 2013,59,True,edwards,medeiros
2013,66,Figueroa vs. Rivera Jr.,UFC 156,Feb 2013,66,True,figueroa,rivera jr.
2013,69,Machida vs. Muñoz,UFC Fight Night,Oct 2013,69,True,machida,muñoz
2013,83,Faber vs. Menjivar II,UFC 157,Feb 2013,83,True,faber,menjivar ii
2013,87,Barão vs. Wineland,UFC 165,Sep 2013,87,True,barão,wineland
2013,89,Macário vs. Santos,UFC on FUEL TV 10,Jun 2013,89,True,macário,santos
2013,96,Vémola vs. Magalhães,UFC on FUEL TV 10,Jun 2013,96,True,vémola,magalhães
2013,102,Rivera Jr. vs. Roop,UFC Fight Night,Nov 2013,102,True,rivera jr.,roop
2013,112,Prado vs. Alcântara,UFC on FX 7,Jan 2013,112,True,prado,alcântara
2013,114,Barão vs. McDonald,UFC on FUEL TV 7,Feb 2013,114,True,barão,mcdonald
2013,128,Perpétuo vs. Akhmedov,UFC Fight Night,Nov 2013,128,True,perpétuo,akhmedov
2013,140,Miller vs. Healy,UFC 159,Apr 2013,140,True,miller,healy
2013,145,Brandão vs. Pineda,UFC Fight Night,Aug 2013,145,True,brandão,pineda
2013,156,Assunção vs. Lee,UFC on FUEL TV 10,Jun 2013,156,True,assunção,lee
2013,165,Natal vs. Troéng,UFC Fight Night,Sep 2013,165,True,natal,troéng
2013,183,Assunção vs. Dillashaw,UFC Fight Night,Oct 2013,183,True,assunção,dillashaw
2015,1,Lawler vs. MacDonald II,UFC 189,Jul 2015,1,True,lawler,macdonald ii
2015,12,Lineker vs. Rivera Jr.,UFC 191,Sep 2015,12,True,lineker,rivera jr.
2015,20,Esparza vs. Jędrzejczyk,UFC 185,Mar 2015,20,True,esparza,jędrzejczyk
2015,23,Jędrzejczyk vs. Penne,UFC Fight Night,Jun 2015,23,True,jędrzejczyk,penne
2015,24,Oliveira vs. Lentz II,UFC Fight Night,May 2015,24,True,oliveira,lentz ii
2015,25,Cerrone vs. Henderson III,UFC Fight Night,Jan 2015,25,True,cerrone,henderson iii
2015,29,Silva vs. Diaz,UFC 183,Jan 2015,29,True,silva,diaz
2015,30,Gonzaga vs. Filipović II,UFC Fight Night,Apr 2015,30,True,gonzaga,filipović ii
2015,36,Jędrzejczyk vs. Létourneau,UFC 193,Nov 2015,36,True,jędrzejczyk,létourneau
2015,53,Till vs. Dalby,UFC Fight Night,Oct 2015,53,True,till,dalby
2015,68,Andrade vs. Pennington II,UFC 191,Sep 2015,68,True,andrade,pennington ii
2015,72,Hirota vs. Ishihara,UFC Fight Night,Sep 2015,72,True,hirota,ishihara
