event_name,r_fighter,b_fighter,winner,weight_class,is_title_bout,gender,method,finish_round,total_rounds,time_sec,referee,r_kd,r_sig_str,r_sig_str_att,r_sig_str_acc,r_str,r_str_att,r_str_acc,r_td,r_td_att,r_td_acc,r_sub_att,r_rev,r_ctrl_sec,r_wins_total,r_losses_total,r_age,r_height,r_weight,r_reach,r_stance,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_kd,b_sig_str,b_sig_str_att,b_sig_str_acc,b_str,b_str_att,b_str_acc,b_td,b_td_att,b_td_acc,b_sub_att,b_rev,b_ctrl_sec,b_wins_total,b_losses_total,b_age,b_height,b_weight,b_reach,b_stance,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg,kd_diff,sig_str_diff,sig_str_att_diff,sig_str_acc_diff,str_diff,str_att_diff,str_acc_diff,td_diff,td_att_diff,td_acc_diff,sub_att_diff,rev_diff,ctrl_sec_diff,wins_total_diff,losses_total_diff,age_diff,height_diff,weight_diff,reach_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff
UFC Fight Night,adam yandiev,jordan johnson,Blue,Middleweight,0,Men,Submission,2,3,42,Marc Goddard,0,1,12,0.08,1,12,0.08,0,0,0,0,0,0,9,1,35,175.26,83.91,187.96,Orthodox,0.18,6.14,0.08,0,0.36,0.25,0,0,0,35,55,0.63,55,82,0.67,3,4,0.75,2,0,215,10,0,35,187.96,92.99,200.66,Orthodox,3.45,2.64,0.47,0.42,0.53,1,1.2,3.25,0,-34,-43,-0.55,-54,-70,-0.59,-3,-4,-0.75,-2,0,-215,-1,1,0,-12.7,-9.08,-12.7,-3.27,3.5,-0.39,-0.42,-0.17,-0.75,-1.2,-3.25
UFC Fight Night,maia stevenson,polyana viana,Blue,Women's Strawweight,0,Women,Submission,1,3,230,Camila Albuquerque,0,6,11,0.54,11,16,0.69,1,1,1,0,0,89,6,5,42,162.56,52.16,157.48,Orthodox,1.57,3.13,0.54,1,0.33,0.5,0,3.91,0,12,18,0.66,25,35,0.71,1,2,0.5,3,1,106,13,7,31,165.1,52.16,170.18,Orthodox,2.99,2.65,0.4,0.33,0.53,0.38,1.9,0.82,0,-6,-7,-0.12,-14,-19,-0.02,0,-1,0.5,-3,-1,-17,-7,-2,11,-2.54,0,-12.7,-1.42,0.48,0.14,0.6699999999999999,-0.2,0.12,-1.9,3.0900000000000003
UFC on FOX,john dodson,manvel gamburyan,Red,Bantamweight,0,Men,KO/TKO,1,3,37,James Warring,1,16,19,0.84,18,21,0.86,0,0,0,0,0,4,22,12,39,160.02,61.23,167.64,Orthodox,3.2,3.58,0.4,0.28,0.61,0.82,0,0.71,0,2,2,1,2,3,0.67,0,0,0,0,0,0,15,10,42,165.1,61.23,170.18,Orthodox,2.13,2.83,0.41,0.34,0.55,0.69,0.7,3.26,1,14,17,-0.16,16,18,0.1899999999999999,0,0,0,0,0,4,7,2,-3,-5.08,0,-2.54,1.0700000000000005,0.75,-0.01,-0.06,0.06,0.13,-0.7,-2.55
UFC on FOX,anthony johnson,ryan bader,Red,Light Heavyweight,0,Men,KO/TKO,1,5,86,Keith Peterson,0,11,13,0.84,13,15,0.87,0,0,0,0,0,73,22,6,40,187.96,92.99,198.12,Orthodox,3.25,1.83,0.47,0.57,0.6,0.77,0.6,2.43,0,0,0,0,0,0,0,0,1,0,0,0,0,23,5,40,187.96,92.99,187.96,Orthodox,2.82,1.39,0.43,0.44,0.71,0.8,0.4,3.37,0,11,13,0.84,13,15,0.87,0,-1,0,0,0,73,-1,1,0,0,0,10.159999999999997,0.4300000000000001,0.4400000000000001,0.04,0.1299999999999999,-0.11,-0.03,0.1999999999999999,-0.94
UFC 178,manvel gamburyan,cody gibson,Red,Bantamweight,0,Men,Submission,2,3,296,Chris Tognoni,0,11,52,0.21,20,63,0.32,2,6,0.33,1,0,92,15,10,42,165.1,61.23,170.18,Orthodox,2.13,2.83,0.41,0.34,0.55,0.69,0.7,3.26,1,49,118,0.41,61,131,0.47,1,2,0.5,0,0,162,20,10,36,177.8,61.23,180.34,Orthodox,4,4.08,0.43,0.28,0.57,0.68,0.2,1.28,-1,-38,-66,-0.2,-41,-68,-0.15,1,4,-0.17,1,0,-70,-5,0,6,-12.7,0,-10.16,-1.87,-1.25,-0.02,0.06,-0.02,0.01,0.4999999999999999,1.98
UFC 177,yancy medeiros,damon jackson,Red,Lightweight,0,Men,Submission,2,3,114,Jason Herzog,0,29,55,0.52,36,62,0.58,0,0,0,2,0,39,15,8,36,177.8,70.31,190.5,Orthodox,4.36,5.67,0.37,0.5,0.47,0.73,0.7,0.33,0,20,49,0.4,22,51,0.43,0,5,0,0,0,139,22,6,35,180.34,65.77,180.34,Switch,3.02,3.46,0.4,0.34,0.5,0.4,1.6,2.44,0,9,6,0.12,14,11,0.1499999999999999,0,-5,0,2,0,-100,-7,2,1,-2.54,4.540000000000006,10.159999999999997,1.3400000000000003,2.21,-0.03,0.1599999999999999,-0.03,0.3299999999999999,-0.9,-2.11
UFC on FUEL TV,ryan couture,ross pearson,Blue,Lightweight,0,Men,KO/TKO,2,3,225,Leon Roberts,0,29,77,0.37,35,83,0.42,1,7,0.14,0,0,188,11,5,41,177.8,70.31,185.42,Orthodox,3.54,2.87,0.45,0.29,0.54,0.46,1.3,1.55,1,28,41,0.68,48,62,0.77,1,1,1,0,0,10,20,16,39,172.72,70.31,175.26,Orthodox,3.68,4.09,0.4,0.35,0.62,0.75,0,0.74,-1,1,36,-0.31,-13,21,-0.35,0,6,-0.86,0,0,178,-9,-11,2,5.0800000000000125,0,10.159999999999997,-0.14,-1.22,0.05,-0.06,-0.08,-0.29,1.3,0.81
UFC 144,quinton jackson,ryan bader,Blue,Light Heavyweight,0,Men,Decision - Unanimous,3,3,300,Leon Roberts,0,16,39,0.41,30,53,0.57,1,4,0.25,0,0,21,37,12,45,185.42,92.99,185.42,Orthodox,3.25,2.51,0.54,0.56,0.55,0.73,0.1,1.52,0,55,101,0.54,109,158,0.69,4,9,0.44,0,0,527,23,5,40,187.96,92.99,187.96,Orthodox,2.82,1.39,0.43,0.44,0.71,0.8,0.4,3.37,0,-39,-62,-0.13,-79,-105,-0.12,-3,-5,-0.19,0,0,-506,14,7,5,-2.54,0,-2.54,0.4300000000000001,1.12,0.11,0.12,-0.16,-0.07,-0.3,-1.85
UFC 139,ryan bader,jason brilz,Red,Light Heavyweight,0,Men,KO/TKO,1,3,77,Jason McCoy,1,6,14,0.42,6,14,0.43,0,0,0,0,0,1,23,5,40,187.96,92.99,187.96,Orthodox,2.82,1.39,0.43,0.44,0.71,0.8,0.4,3.37,0,1,13,0.07,1,13,0.08,0,0,0,0,0,0,22,6,48,180.34,92.99,180.34,Orthodox,2.66,1.78,0.4,0.25,0.65,0.25,1.3,2.37,1,5,1,0.35,5,1,0.35,0,0,0,0,0,1,1,-1,-8,7.620000000000003,0,7.620000000000003,0.1599999999999997,-0.39,0.03,0.19,0.06,0.55,-0.9,1
UFC Live,tyson griffin,manvel gamburyan,Red,Featherweight,0,Men,Decision - Unanimous,3,3,300,Chip Snider,0,67,125,0.53,100,163,0.61,0,3,0,0,0,228,16,8,39,167.64,65.77,172.72,Orthodox,3.71,2.3,0.41,0.46,0.65,0.59,0.9,1.87,0,32,71,0.45,42,84,0.5,2,12,0.16,0,0,158,15,10,42,165.1,61.23,170.18,Orthodox,2.13,2.83,0.41,0.34,0.55,0.69,0.7,3.26,0,35,54,0.08,58,79,0.1099999999999999,-2,-9,-0.16,0,0,70,1,-2,-3,2.539999999999992,4.539999999999999,2.539999999999992,1.58,-0.53,0,0.12,0.1,-0.1,0.2,-1.39
